12C   1.09e-05  1.65e-05  4.04e-05  4.36e-04  7.61e-04  1.23e-03  1.67e-03  1.95e-03  5.71e-06  2.48e-06
13C   3.87e-09  4.13e-12  1.35e-10  1.86e-10  4.22e-11  1.95e-09  2.79e-10  2.74e-08  8.96e-10  9.04e-12
14N   1.71e-05  2.86e-10  1.75e-05  3.63e-08  1.73e-05  1.78e-07  1.72e-05  1.00e-06  1.74e-05  9.72e-10
15N   5.58e-10  9.98e-10  8.73e-09  3.86e-10  2.32e-08  8.45e-10  4.86e-08  2.25e-09  4.52e-09  3.70e-09
16O   3.09e-03  2.73e-03  9.35e-03  6.08e-02  6.79e-03  4.88e-02  1.86e-03  5.70e-02  3.82e-03  7.53e-04
17O   1.08e-08  1.24e-12  1.10e-08  8.33e-09  1.21e-08  3.84e-08  1.84e-08  2.49e-07  1.10e-08  8.18e-12
18O   5.83e-08  5.00e-10  6.90e-08  2.98e-10  7.76e-08  1.10e-09  1.03e-07  4.29e-09  6.45e-08  2.14e-09
19F   2.88e-09  1.49e-11  5.44e-09  8.21e-12  1.50e-08  3.69e-11  3.85e-08  1.24e-10  3.99e-09  1.17e-12
20Ne  7.43e-06  1.46e-07  1.98e-05  1.50e-03  1.69e-03  1.78e-03  1.32e-03  1.90e-03  6.63e-06  4.34e-08
21Ne  2.37e-08  8.14e-11  2.73e-08  6.52e-08  7.84e-08  2.26e-07  1.57e-07  5.59e-07  2.37e-08  2.17e-13
22Ne  5.21e-07  6.42e-07  4.40e-07  2.37e-07  4.68e-07  9.12e-07  5.61e-07  1.15e-05  4.41e-07  1.77e-08
23Na  1.45e-07  2.27e-09  4.94e-07  8.54e-06  8.07e-06  1.29e-05  8.80e-06  1.84e-05  1.50e-07  5.29e-09
24Mg  2.51e-04  7.85e-05  2.94e-03  4.18e-03  3.49e-03  2.98e-03  1.52e-03  3.43e-03  3.28e-04  1.61e-05
25Mg  1.09e-06  1.55e-08  1.24e-06  1.92e-05  9.85e-06  2.65e-05  1.44e-05  3.74e-05  5.91e-07  3.11e-09
26Mg  1.02e-06  1.70e-08  1.05e-06  2.49e-05  1.65e-05  4.08e-05  2.01e-05  5.34e-05  6.69e-07  2.67e-09
27Al  2.57e-06  1.90e-06  5.18e-05  2.38e-04  1.27e-04  1.59e-04  5.57e-05  1.85e-04  3.03e-06  3.58e-07
28Si  3.70e-02  7.34e-02  1.31e-02  1.62e-01  8.87e-03  1.51e-01  2.93e-03  1.71e-01  5.58e-02  4.55e-02
29Si  3.52e-05  1.25e-05  8.07e-05  4.31e-04  9.28e-05  3.57e-04  4.17e-05  4.08e-04  4.88e-05  3.78e-06
30Si  5.51e-05  1.95e-05  1.01e-04  8.11e-04  9.96e-05  6.02e-04  4.34e-05  7.01e-04  6.69e-05  4.94e-06
31P   2.39e-05  1.30e-05  5.59e-05  3.57e-04  8.50e-05  2.60e-04  3.77e-05  3.00e-04  3.80e-05  4.40e-06
32S   1.59e-02  5.42e-02  4.89e-03  9.60e-02  3.68e-03  9.12e-02  1.60e-03  1.02e-01  2.44e-02  3.68e-02
