12C   1.19e-04  1.05e-03  2.31e-03  7.46e-03  3.38e-03  1.25e-02  3.91e-05  1.32e-04  4.33e-04  2.63e-03  3.47e-03  4.88e-03
13C   5.81e-11  1.12e-10  4.08e-10  1.22e-07  1.41e-09  3.50e-07  1.69e-09  7.02e-12  1.98e-11  5.27e-09  8.25e-10  1.01e-07
14N   1.74e-05  1.73e-08  1.79e-05  7.46e-06  1.83e-05  1.02e-05  1.75e-05  2.17e-10  1.75e-05  6.02e-07  1.76e-05  3.94e-06
15N   1.86e-08  6.51e-10  6.27e-08  1.48e-08  4.42e-07  2.06e-08  2.59e-08  3.01e-10  1.83e-08  2.41e-09  1.04e-07  7.66e-09
16O   9.27e-03  8.08e-02  6.29e-03  1.16e-01  2.62e-03  1.45e-01  8.52e-03  5.50e-02  7.31e-03  7.78e-02  3.93e-03  9.22e-02
17O   1.10e-08  5.33e-09  3.02e-08  1.84e-06  6.01e-08  3.68e-06  1.10e-08  3.79e-11  1.14e-08  1.22e-07  3.99e-08  1.08e-06
18O   7.26e-08  2.52e-10  1.29e-07  3.27e-08  5.87e-07  4.98e-08  8.95e-08  2.01e-12  7.18e-08  3.73e-09  1.61e-07  1.62e-08
19F   9.88e-09  1.58e-11  4.05e-08  6.43e-10  5.06e-07  2.45e-09  1.13e-08  9.74e-13  1.18e-08  1.04e-10  8.06e-08  4.31e-10
20Ne  1.58e-04  2.86e-03  3.06e-03  5.23e-03  1.63e-03  6.24e-03  1.46e-05  6.24e-04  1.04e-03  3.56e-03  2.85e-03  3.32e-03
21Ne  4.19e-08  1.40e-07  2.64e-07  2.73e-06  1.21e-06  3.13e-06  5.23e-08  2.05e-08  5.49e-08  5.77e-07  4.12e-07  1.68e-06
22Ne  4.48e-07  3.45e-08  6.39e-07  7.21e-05  1.90e-06  2.67e-04  4.49e-07  5.40e-09  4.59e-07  2.69e-06  8.07e-07  5.20e-05
23Na  1.56e-06  1.62e-05  1.63e-05  7.22e-05  1.04e-05  9.07e-05  3.33e-07  3.77e-06  5.48e-06  2.76e-05  1.89e-05  4.41e-05
24Mg  3.16e-03  5.78e-03  4.21e-03  8.19e-03  2.09e-03  1.04e-02  2.48e-03  3.27e-03  3.25e-03  5.27e-03  3.17e-03  5.83e-03
25Mg  2.69e-06  3.44e-05  2.39e-05  1.43e-04  4.02e-05  1.71e-04  1.03e-06  9.04e-06  6.67e-06  5.75e-05  3.34e-05  8.72e-05
26Mg  2.60e-06  4.94e-05  3.72e-05  1.84e-04  3.55e-05  2.02e-04  9.01e-07  1.08e-05  1.02e-05  8.81e-05  4.53e-05  1.15e-04
27Al  7.90e-05  3.25e-04  1.49e-04  4.83e-04  8.26e-05  6.10e-04  3.79e-05  1.74e-04  1.10e-04  2.96e-04  1.13e-04  3.27e-04
28Si  1.28e-02  1.92e-01  9.25e-03  2.29e-01  4.21e-03  2.57e-01  1.26e-02  1.55e-01  9.97e-03  1.92e-01  5.77e-03  2.21e-01
29Si  9.09e-05  6.14e-04  1.11e-04  9.26e-04  5.34e-05  1.13e-03  6.87e-05  3.38e-04  9.01e-05  6.20e-04  8.14e-05  6.75e-04
30Si  1.07e-04  1.09e-03  1.07e-04  1.53e-03  6.99e-05  1.90e-03  9.22e-05  6.85e-04  9.71e-05  1.01e-03  8.29e-05  1.15e-03
31P   7.68e-05  4.53e-04  8.82e-05  6.18e-04  6.60e-05  7.58e-04  4.48e-05  3.07e-04  8.41e-05  4.17e-04  7.09e-05  4.79e-04
32S   5.51e-03  1.10e-01  4.69e-03  1.27e-01  2.40e-03  1.41e-01  4.28e-03  9.20e-02  4.42e-03  1.11e-01  2.76e-03  1.27e-01
33S   7.60e-05  3.14e-04  5.34e-05  4.17e-04  1.37e-05  5.07e-04  4.56e-05  2.24e-04  6.80e-05  2.86e-04  2.31e-05  3.36e-04
34S   1.31e-04  2.31e-03  2.57e-05  3.08e-03  1.14e-05  3.64e-03  2.21e-04  1.73e-03  5.56e-05  2.26e-03  1.22e-05  2.67e-03
36S   4.17e-09  1.49e-07  1.23e-08  3.52e-07  2.18e-08  4.03e-07  3.74e-09  7.02e-08  3.36e-09  1.90e-07  1.90e-08  2.44e-07
35Cl  3.31e-05  1.29e-04  4.85e-05  1.65e-04  4.91e-05  1.97e-04  1.95e-05  8.65e-05  3.92e-05  1.19e-04  4.14e-05  1.34e-04
37Cl  7.87e-06  2.35e-05  1.01e-05  3.00e-05  8.90e-07  3.48e-05  3.64e-06  1.81e-05  9.30e-06  2.30e-05  3.03e-06  2.71e-05
36Ar  1.81e-03  1.96e-02  2.11e-03  2.17e-02  1.11e-03  2.34e-02  1.24e-03  1.71e-02  1.53e-03  2.01e-02  1.13e-03  2.27e-02
38Ar  4.12e-05  1.00e-03  1.49e-05  1.31e-03  2.62e-06  1.52e-03  5.95e-05  7.74e-04  2.38e-05  1.02e-03  4.08e-06  1.20e-03
40Ar  6.85e-10  1.77e-08  9.59e-09  7.65e-08  2.04e-08  8.18e-08  2.76e-10  6.98e-09  1.32e-09  3.30e-08  1.65e-08  5.03e-08
39K   9.17e-05  6.52e-05  1.37e-04  8.22e-05  1.04e-04  9.39e-05  4.38e-05  5.11e-05  9.64e-05  6.53e-05  8.09e-05  7.61e-05
41K   3.57e-06  4.17e-06  9.55e-06  5.21e-06  5.35e-06  5.93e-06  1.40e-06  3.31e-06  6.57e-06  4.19e-06  1.04e-05  4.91e-06
