12C 3.96e-05 4.45e-04 3.95e-05 4.43e-04 3.97e-05 4.30e-04
13C 1.91e-10 1.25e-10 1.88e-10 1.20e-10 9.33e-11 7.98e-10
14N 1.49e-07 2.49e-08 1.21e-06 2.40e-08 3.55e-05 7.19e-08
15N 4.65e-09 5.90e-10 4.93e-09 1.08e-09 1.25e-08 7.36e-10
16O 9.17e-03 6.04e-02 9.18e-03 6.03e-02 9.67e-03 6.15e-02
17O 1.81e-10 6.15e-09 1.58e-09 5.94e-09 4.67e-08 1.72e-08
18O 6.40e-09 1.93e-10 1.42e-08 1.83e-10 2.63e-07 5.29e-10
19F 1.60e-09 5.51e-12 1.80e-09 5.44e-12 7.77e-09 2.81e-11
20Ne 1.42e-05 1.54e-03 1.44e-05 1.53e-03 2.26e-05 1.41e-03
21Ne 7.07e-09 3.61e-08 8.12e-09 3.58e-08 3.97e-08 2.66e-07
22Ne 6.14e-09 1.18e-07 2.51e-08 1.15e-07 6.34e-07 9.70e-07
23Na 3.58e-07 7.28e-06 3.62e-07 7.30e-06 5.55e-07 1.41e-05
24Mg 2.82e-03 5.14e-03 2.86e-03 5.27e-03 2.98e-03 2.31e-03
25Mg 8.31e-07 1.15e-05 8.73e-07 1.13e-05 1.87e-06 4.73e-05
26Mg 6.27e-07 1.71e-05 6.66e-07 1.67e-05 1.73e-06 6.51e-05
27Al 4.93e-05 2.08e-04 5.01e-05 2.09e-04 5.23e-05 2.56e-04
28Si 1.31e-02 1.61e-01 1.31e-02 1.62e-01 1.32e-02 1.60e-01
29Si 7.85e-05 2.98e-04 7.90e-05 2.95e-04 8.22e-05 9.91e-04
30Si 9.60e-05 4.52e-04 9.74e-05 4.47e-04 1.04e-04 2.43e-03
31P 5.55e-05 2.50e-04 5.55e-05 2.47e-04 5.67e-05 6.91e-04
32S 4.98e-03 9.88e-02 4.95e-03 9.87e-02 4.94e-03 8.43e-02
33S 6.19e-05 1.96e-04 6.14e-05 1.93e-04 6.09e-05 3.73e-04
34S 1.71e-04 1.02e-03 1.70e-04 9.94e-04 1.73e-04 4.85e-03
36S 3.94e-09 2.43e-08 4.02e-09 2.35e-08 5.29e-09 2.18e-06
35Cl 1.58e-05 7.05e-05 1.57e-05 6.86e-05 1.82e-05 1.86e-04
37Cl 5.46e-06 1.52e-05 5.41e-06 1.49e-05 5.67e-06 2.98e-05
36Ar 1.39e-03 1.90e-02 1.38e-03 1.90e-02 1.40e-03 1.43e-02
38Ar 4.51e-05 4.56e-04 4.47e-05 4.43e-04 4.97e-05 2.12e-03
40Ar 2.52e-10 3.04e-09 2.56e-10 2.97e-09 5.93e-10 1.26e-07
39K 4.03e-05 4.09e-05 4.06e-05 4.00e-05 5.21e-05 8.75e-05
41K 1.84e-06 2.74e-06 1.84e-06 2.69e-06 2.43e-06 4.82e-06
40Ca 4.26e-03 1.79e-02 4.26e-03 1.79e-02 4.31e-03 1.31e-02
42Ca 4.59e-06 1.24e-05 4.58e-06 1.20e-05 6.16e-06 5.11e-05
43Ca 1.38e-05 7.77e-07 1.38e-05 7.77e-07 1.35e-05 4.92e-07
44Ca 7.79e-04 2.42e-05 7.80e-04 2.43e-05 8.10e-04 1.41e-05
46Ca 7.74e-13 2.41e-11 2.15e-12 1.09e-10 4.35e-11 4.89e-08
48Ca 6.33e-12 1.31e-12 6.33e-11 4.67e-12 1.90e-09 1.74e-09
45Sc 2.19e-06 1.56e-07 2.19e-06 1.53e-07 2.87e-06 3.59e-07
46Ti 5.21e-06 4.64e-06 5.20e-06 4.49e-06 5.46e-06 1.76e-05
47Ti 3.15e-05 9.28e-07 3.15e-05 9.23e-07 3.33e-05 1.29e-06
48Ti 2.06e-03 3.95e-04 2.06e-03 3.96e-04 2.15e-03 2.77e-04
49Ti 2.05e-05 2.03e-05 2.07e-05 2.02e-05 2.64e-05 3.03e-05
50Ti 2.22e-11 2.29e-10 8.62e-11 6.06e-10 2.17e-09 2.66e-07
50V 2.45e-10 2.02e-09 2.41e-10 2.22e-09 6.34e-10 8.63e-08
51V 1.48e-04 5.05e-05 1.48e-04 5.00e-05 1.59e-04 1.06e-04
50Cr 2.56e-05 1.11e-04 2.54e-05 1.08e-04 2.13e-05 5.51e-04
52Cr 4.02e-03 8.43e-03 4.03e-03 8.44e-03 4.37e-03 6.61e-03
53Cr 5.77e-05 5.91e-04 5.83e-05 5.87e-04 7.91e-05 1.04e-03
54Cr 2.97e-10 1.39e-08 4.68e-10 1.69e-08 6.75e-09 7.03e-07
55Mn 4.78e-04 2.98e-03 4.79e-04 2.95e-03 4.94e-04 6.71e-03
54Fe 3.50e-05 1.24e-02 3.54e-05 1.22e-02 4.98e-05 5.43e-02
56Fe 8.32e-03 5.56e-01 8.31e-03 5.57e-01 8.10e-03 4.85e-01
57Fe 5.75e-04 1.01e-02 5.76e-04 1.00e-02 5.73e-04 1.69e-02
58Fe 3.88e-10 7.81e-09 3.23e-09 3.34e-08 1.31e-07 2.03e-06
59Co 2.75e-05 3.67e-04 2.75e-05 3.63e-04 3.03e-05 6.40e-04
58Ni 1.02e-04 9.59e-03 1.03e-04 9.40e-03 1.44e-04 4.89e-02
60Ni 7.48e-04 9.15e-03 7.48e-04 9.17e-03 7.29e-04 5.44e-03
61Ni 1.20e-04 2.92e-04 1.20e-04 2.92e-04 1.12e-04 3.28e-04
62Ni 5.98e-05 1.57e-03 6.07e-05 1.55e-03 8.78e-05 4.54e-03
64Ni 7.39e-11 3.84e-09 7.39e-10 3.63e-08 1.77e-08 4.93e-06
63Cu 5.17e-06 8.00e-07 5.17e-06 9.36e-07 4.87e-06 6.29e-06
64Zn 6.41e-05 3.05e-05 6.37e-05 3.11e-05 4.88e-05 1.19e-05
66Zn 7.08e-06 3.22e-05 7.35e-06 3.25e-05 1.21e-05 7.46e-05
67Zn 5.48e-07 2.13e-08 6.18e-07 2.98e-08 1.73e-06 8.28e-07
68Zn 3.67e-07 1.05e-08 5.71e-07 4.54e-08 1.86e-06 1.66e-06
70Zn 4.68e-13 2.51e-11 4.60e-12 2.29e-10 1.18e-10 3.56e-08
69Ga 2.39e-08 3.16e-09 4.57e-08 3.08e-08 1.43e-07 3.10e-07
71Ga 1.47e-09 4.21e-10 3.43e-09 4.00e-09 9.10e-09 1.37e-07
