12C 7.39e-06 2.46e-06 7.25e-06 2.47e-06 7.52e-06 1.12e-06
13C 4.23e-09 2.49e-12 4.21e-09 2.57e-12 3.65e-09 1.12e-12
14N 1.25e-07 3.04e-12 1.16e-06 3.13e-12 3.46e-05 1.88e-11
15N 3.15e-10 2.12e-12 3.27e-10 2.13e-12 8.11e-10 4.36e-11
16O 3.02e-03 2.70e-03 3.02e-03 2.70e-03 3.24e-03 2.75e-03
17O 1.98e-10 4.28e-16 1.57e-09 4.26e-16 4.56e-08 6.50e-16
18O 1.61e-09 1.60e-17 8.88e-09 1.59e-17 2.43e-07 1.62e-11
19F 2.39e-10 1.53e-19 3.53e-10 1.54e-19 4.14e-09 9.82e-15
20Ne 1.74e-06 1.05e-07 1.98e-06 1.03e-07 9.96e-06 1.16e-07
21Ne 1.17e-08 5.33e-13 1.23e-08 5.27e-13 2.91e-08 9.70e-13
22Ne 1.53e-08 5.44e-13 3.33e-08 5.57e-13 6.18e-07 1.84e-10
23Na 1.61e-09 1.12e-10 7.83e-09 1.10e-10 2.09e-07 3.51e-10
24Mg 2.27e-04 1.02e-04 2.32e-04 1.06e-04 2.53e-04 4.12e-05
25Mg 7.32e-07 1.50e-08 7.62e-07 1.57e-08 1.68e-06 1.00e-08
26Mg 8.44e-07 1.08e-08 8.66e-07 1.12e-08 1.59e-06 2.23e-08
27Al 2.11e-06 1.68e-06 2.16e-06 1.73e-06 2.67e-06 1.94e-06
28Si 3.68e-02 7.28e-02 3.68e-02 7.28e-02 3.75e-02 7.29e-02
29Si 3.33e-05 1.07e-05 3.36e-05 1.08e-05 3.61e-05 2.40e-05
30Si 5.15e-05 1.10e-05 5.22e-05 1.10e-05 5.60e-05 6.55e-05
31P 2.31e-05 9.49e-06 2.31e-05 9.43e-06 2.45e-05 3.10e-05
32S 1.59e-02 5.55e-02 1.59e-02 5.56e-02 1.61e-02 4.85e-02
33S 1.58e-05 1.02e-05 1.58e-05 1.00e-05 1.67e-05 2.77e-05
34S 1.50e-04 6.91e-05 1.50e-04 6.76e-05 1.51e-04 3.53e-04
36S 3.34e-10 3.68e-10 4.01e-10 3.63e-10 1.35e-09 4.22e-09
35Cl 8.94e-06 3.81e-06 8.89e-06 3.74e-06 8.95e-06 1.19e-05
37Cl 1.63e-06 1.67e-06 1.62e-06 1.64e-06 1.68e-06 4.14e-06
36Ar 2.79e-03 1.28e-02 2.79e-03 1.28e-02 2.82e-03 1.05e-02
38Ar 4.40e-05 3.90e-05 4.37e-05 3.77e-05 4.51e-05 1.96e-04
40Ar 3.76e-11 5.19e-11 4.70e-11 5.00e-11 3.35e-10 2.82e-10
