# These data are taken from Wang et al. (2012), Chinese Phys. C, 36, 1603
#
# isotope	mass
h1	1.00782503223
h2	2.01410177812
h3	3.0160492779
h4	4.02643
h5	5.035311
h6	6.04496
h7	7.0527
he3	3.0160293201
he4	4.00260325413
he5	5.012057
he6	6.018885891
he7	7.0279907
he8	8.03393439
he9	9.043946
he10	10.05279
li3	3.0308
li4	4.02719
li5	5.012538
li6	6.0151228874
li7	7.0160034366
li8	8.022486246
li9	9.02679019
li10	10.035483
li11	11.04372358
li12	12.052517
li13	13.06263
be5	5.0399
be6	6.0197264
be7	7.016928717
be8	8.005305102
be9	9.012183065
be10	10.013534695
be11	11.02166108
be12	12.0269221
be13	13.036135
be14	14.04289
be15	15.05342
be16	16.06167
b6	6.0508
b7	7.029712
b8	8.0246073
b9	9.01332965
b10	10.01293695
b11	11.00930536
b12	12.0143527
b13	13.0177802
b14	14.025404
b15	15.031088
b16	16.039842
b17	17.04699
b18	18.05566
b19	19.0631
b20	20.07207
b21	21.08129
c8	8.037643
c9	9.0310372
c10	10.01685331
c11	11.0114336
c12	12.0
c13	13.00335483507
c14	14.0032419884
c15	15.01059926
c16	16.0147013
c17	17.022577
c18	18.026751
c19	19.0348
c20	20.04032
c21	21.049
c22	22.05753
c23	23.0689
n10	10.04165
n11	11.026091
n12	12.0186132
n13	13.00573861
n14	14.00307400443
n15	15.00010889888
n16	16.0061019
n17	17.008449
n18	18.014078
n19	19.017022
n20	20.023366
n21	21.02711
n22	22.03439
n23	23.04114
n24	24.05039
n25	25.0601
o12	12.034262
o13	13.024815
o14	14.00859636
o15	15.00306562
o16	15.99491461957
o17	16.9991317565
o18	17.99915961286
o19	19.003578
o20	20.00407535
o21	21.008655
o22	22.009966
o23	23.015696
o24	24.01986
o25	25.02936
o26	26.03729
o27	27.04772
o28	28.05591
f14	14.034315
f15	15.018043
f16	16.0114657
f17	17.00209524
f18	18.00093733
f19	18.99840316273
f20	19.999981252
f21	20.9999489
f22	22.002999
f23	23.003557
f24	24.008115
f25	25.012199
f26	26.020038
f27	27.02644
f28	28.03534
f29	29.04254
f30	30.05165
f31	31.05971
ne16	16.02575
ne17	17.01771396
ne18	18.0057087
ne19	19.00188091
ne20	19.9924401762
ne21	20.993846685
ne22	21.991385114
ne23	22.99446691
ne24	23.99361065
ne25	24.997789
ne26	26.000515
ne27	27.007553
ne28	28.01212
ne29	29.01975
ne30	30.02473
ne31	31.0331
ne32	32.03972
ne33	33.04938
ne34	34.05673
na18	18.02688
na19	19.01388
na20	20.0073544
na21	20.99765469
na22	21.99443741
na23	22.989769282
na24	23.99096295
na25	24.989954
na26	25.9926346
na27	26.9940765
na28	27.998939
na29	29.0028771
na30	30.0090979
na31	31.013163
na32	32.02019
na33	33.02573
na34	34.03359
na35	35.04062
na36	36.04929
na37	37.05705
mg19	19.034169
mg20	20.01885
mg21	21.011716
mg22	21.99957065
mg23	22.99412421
mg24	23.985041697
mg25	24.985836976
mg26	25.982592968
mg27	26.984340624
mg28	27.9838767
mg29	28.988617
mg30	29.9904629
mg31	30.996648
mg32	31.9991102
mg33	33.0053271
mg34	34.008935
mg35	35.01679
mg36	36.02188
mg37	37.03037
mg38	38.03658
mg39	39.04538
mg40	40.05218
al21	21.02897
al22	22.01954
al23	23.00724435
al24	23.9999489
al25	24.9904281
al26	25.986891904
al27	26.98153853
al28	27.98191021
al29	28.9804565
al30	29.98296
al31	30.983945
al32	31.988085
al33	32.990909
al34	33.996705
al35	34.999764
al36	36.00639
al37	37.01053
al38	38.0174
al39	39.02254
al40	40.03003
al41	41.03638
al42	42.04384
al43	43.05147
si22	22.03579
si23	23.02544
si24	24.011535
si25	25.004109
si26	25.99233384
si27	26.98670481
si28	27.97692653465
si29	28.9764946649
si30	29.973770136
si31	30.975363194
si32	31.97415154
si33	32.97797696
si34	33.978576
si35	34.984583
si36	35.986695
si37	36.992921
si38	37.995523
si39	39.002491
si40	40.00583
si41	41.01301
si42	42.01778
si43	43.0248
si44	44.03061
si45	45.03995
p24	24.03577
p25	25.02119
p26	26.01178
p27	26.999224
p28	27.9923266
p29	28.98180079
p30	29.97831375
p31	30.97376199842
p32	31.973907643
p33	32.9717257
p34	33.97364589
p35	34.9733141
p36	35.97826
p37	36.979607
p38	37.984252
p39	38.986227
p40	39.99133
p41	40.994654
p42	42.00108
p43	43.00502
p44	44.01121
p45	45.01645
p46	46.02446
p47	47.03139
s26	26.02907
s27	27.01828
s28	28.00437
s29	28.996611
s30	29.98490703
s31	30.97955701
s32	31.9720711744
s33	32.9714589098
s34	33.967867004
s35	34.96903231
s36	35.96708071
s37	36.97112551
s38	37.9711633
s39	38.975134
s40	39.9754826
s41	40.9795935
s42	41.9810651
s43	42.9869076
s44	43.9901188
s45	44.99572
