 	N1 	N3 	N5 	N10 	N20 	N40 	N100H 	N100 	N100L 	N150 	N200 	N300C 	N1600 	N1600C 	N100_Z0.5 	N100_Z0.1 	N100_Z0.01 
12C 	2.61E-03 	9.90E-03 	9.05E-03 	4.43E-03 	9.20E-03 	3.90E-03 	3.87E-03 	3.04E-03 	3.85E-03 	1.72E-02 	1.21E-02 	8.86E-03 	1.06E-02 	1.68E-02 	3.10E-03 	3.15E-03 	3.16E-03 
13C 	1.84E-08 	6.15E-08 	5.05E-08 	2.57E-08 	4.52E-08 	2.18E-08 	2.28E-08 	1.74E-08 	2.17E-08 	1.00E-07 	6.57E-08 	4.95E-08 	5.57E-08 	8.44E-08 	8.47E-09 	1.91E-09 	2.72E-10 
14N 	2.92E-06 	9.93E-06 	8.46E-06 	3.85E-06 	8.34E-06 	4.30E-06 	4.25E-06 	3.21E-06 	3.98E-06 	1.84E-05 	1.33E-05 	9.16E-06 	1.04E-05 	1.88E-05 	1.80E-06 	4.71E-07 	7.22E-08 
15N 	3.36E-09 	1.22E-08 	1.03E-08 	4.47E-09 	1.03E-08 	5.16E-09 	5.24E-09 	3.67E-09 	4.66E-09 	2.29E-08 	1.71E-08 	1.14E-08 	1.29E-08 	2.41E-08 	2.07E-09 	2.98E-09 	8.73E-08 
16O 	2.63E-02 	4.74E-02 	5.63E-02 	5.16E-02 	9.04E-02 	9.89E-02 	7.30E-02 	1.01E-01 	1.24E-01 	1.24E-01 	1.96E-01 	1.21E-01 	1.91E-01 	2.72E-01 	9.87E-02 	9.64E-02 	9.47E-02 
17O 	3.96E-07 	1.37E-06 	1.16E-06 	5.34E-07 	1.12E-06 	5.54E-07 	5.61E-07 	4.13E-07 	5.14E-07 	2.48E-06 	1.74E-06 	1.22E-06 	1.36E-06 	2.42E-06 	2.84E-07 	9.32E-08 	5.43E-09 
18O 	3.32E-09 	1.33E-08 	1.11E-08 	4.54E-09 	1.12E-08 	5.29E-09 	5.59E-09 	3.53E-09 	4.61E-09 	2.52E-08 	1.98E-08 	1.25E-08 	1.44E-08 	2.73E-08 	2.23E-09 	1.21E-09 	9.93E-10 
19F 	3.73E-11 	1.35E-10 	1.17E-10 	5.05E-11 	1.22E-10 	6.22E-11 	6.32E-11 	4.39E-11 	5.68E-11 	2.64E-10 	2.13E-10 	1.36E-10 	1.58E-10 	2.97E-10 	2.20E-11 	1.48E-11 	4.79E-11 
20Ne	1.47E-03 	3.37E-03 	3.75E-03 	2.40E-03 	5.41E-03 	4.15E-03 	3.66E-03 	3.53E-03 	4.33E-03 	8.72E-03 	1.15E-02 	6.76E-03 	9.40E-03 	1.73E-02 	3.60E-03 	3.69E-03 	3.74E-03 
21Ne	3.08E-07 	9.79E-07 	8.81E-07 	4.16E-07 	9.63E-07 	5.43E-07 	5.20E-07 	4.11E-07 	5.17E-07 	1.98E-06 	1.68E-06 	1.08E-06 	1.29E-06 	2.39E-06 	1.97E-07 	4.47E-08 	6.93E-09 
22Ne	6.40E-05 	3.26E-04 	2.87E-04 	1.31E-04 	2.58E-04 	5.77E-05 	7.62E-05 	4.07E-05 	5.51E-05 	4.83E-04 	2.34E-04 	2.11E-04 	2.32E-04 	2.97E-04 	1.65E-05 	2.30E-06 	1.71E-07 
23Na 	2.20E-05 	6.41E-05 	6.09E-05 	3.22E-05 	7.30E-05 	4.66E-05 	4.25E-05 	3.74E-05 	4.68E-05 	1.38E-04 	1.38E-04 	8.53E-05 	1.09E-04 	2.02E-04 	2.63E-05 	1.96E-05 	1.72E-05 
24Mg 	3.93E-03 	7.13E-03 	8.53E-03 	7.77E-03 	1.46E-02 	1.54E-02 	1.15E-02 	1.52E-02 	1.83E-02 	1.93E-02 	3.32E-02 	1.97E-02 	3.08E-02 	4.64E-02 	2.02E-02 	2.69E-02 	2.90E-02 
25Mg 	3.35E-05 	9.26E-05 	8.92E-05 	5.07E-05 	1.11E-04 	7.70E-05 	6.86E-05 	6.49E-05 	8.02E-05 	2.02E-04 	2.14E-04 	1.33E-04 	1.75E-04 	3.12E-04 	3.09E-05 	1.06E-05 	8.99E-07 
26Mg 	5.15E-05 	1.36E-04 	1.34E-04 	7.55E-05 	1.71E-04 	1.17E-04 	1.04E-04 	9.66E-05 	1.19E-04 	3.07E-04 	3.27E-04 	2.01E-04 	2.63E-04 	4.82E-04 	4.44E-05 	7.36E-06 	1.04E-06 
27Al 	1.98E-04 	3.95E-04 	4.56E-04 	3.71E-04 	7.32E-04 	7.05E-04 	5.47E-04 	6.74E-04 	8.32E-04 	1.04E-03 	1.64E-03 	9.68E-04 	1.48E-03 	2.37E-03 	5.88E-04 	2.68E-04 	8.71E-05 
28Si 	6.32E-02 	8.99E-02 	1.19E-01 	1.38E-01 	1.98E-01 	2.59E-01 	2.12E-01 	2.84E-01 	3.55E-01 	2.71E-01 	3.28E-01 	3.19E-01 	3.61E-01 	3.44E-01 	2.90E-01 	2.94E-01 	2.89E-01 
